Title,PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse
"Wonderful


Wonderful","new equipment, good accessibility for reptiles",couldn't close one window,9.0,Anonymous,Czech Republic,,1 night,August 2022,Family,
"top


top",location and calm,,10.0,Anonymous,Lebanon,,1 night,August 2022,Family,
"Very Good


Very Good","comfortable and clean room, good location and kind staff",difficulties with the different sockets as they provided devices without adapters.,8.0,Anonymous,Greece,,4 nights,July 2022,Family,
"Exceptional


Exceptional",perfect welcome even arriving at 4am what we expect for this perfect price!,Nothing,10.0,Anonymous,France,,1 night,May 2022,Couple,
"Wonderful


Wonderful",Very friendly and warm service. very clean and new rooms. Proximity to the beach and airport.,,9.0,Anonymous,Germany,,2 nights,March 2022,Solo traveler,
"Cyprus, October 2021


Cyprus, October 2021","Wonderful hotel with a cozy homely atmosphere. Responsive staff. Always with a smile. Delicious inexpensive breakfast options. A couple of days after arrival, we changed the room from a one-room to a two-room with a balcony.",,10.0,Anonymous,Russia,,10 nights,November 2021,Family,
"Exceptional


Exceptional","Perfect welcome at 1:30 in the morning!
Excellent value.
Close to the airport.",None,10.0,Anonymous,France,,1 night,October 2021,Couple,
"Perfect !


Perfect !","The location close to the airport, while being quiet
Check-in at 4am
An exceptional welcome in French
The room is clean, large enough and recent
The outdoor balcony is a plus
The proximity to the beach and the city is a significant asset
There is a bus stop near the hotel which allows you to go to the city center and to the airport.
I recommend 100%",Nothing except the breakfast served at the bar next door (too frugal for the price and very slow service!).,10.0,Anonymous,France,,3 nights,October 2021,Couple,
"Exceptional


Exceptional","Cozy hotel, nice room, large room size, location near mackenzie beach.",-,10.0,Anonymous,Russia,,1 night,October 2021,Family,
"Very Good


Very Good","A friendly, nice and sympathetic man serving breakfast.","Bed frame structure dangerous, sharp corners.",8.0,Anonymous,Finland,,7 nights,October 2021,Group,
"Exceptional


Exceptional",Excellent location close to everything.,,10.0,Anonymous,Israel,,2 nights,October 2021,Couple,
"Exceptional


Exceptional","Lovely, quiet and cozy hotel 5 minutes from the beach and the airport.
Crisp white linens, small but cozy and very clean room. For a reasonable price, we extended our stay in the room for half a day due to the constantly shifting departure of the plane.
Very pleasant and helpful staff!
Thank you!",,10.0,Anonymous,Russia,,1 night,September 2021,Solo traveler,
"Exceptional


Exceptional",the service,,10.0,Anonymous,Israel,,1 night,July 2021,Couple,Thank you so much;
"Pleasant


Pleasant",The stay is worth it only for sleeping before departure. Very kind and helpful staff.,Bad-degraded area. Garbage heap in the bin next to the hotel. Not as clean as it should be inside. Misleading photos.,6.0,Anonymous,Spain,,1 night,June 2021,Group,"Thank you for your comments; there were delay from the municipality to remove the garbage near the hotel, but the problem is solved now. the garbage are removed on a daily basis."
Wonderful,,,9.0,Salome,Georgia,Budget Twin Room,1 night,October 2022,Solo traveler,
Wonderful,,,9.0,Evangelia,Greece,Budget Twin Room,4 nights,November 2022,Family,
Wonderful,,,9.0,Jonathan,United Kingdom,Double Room with Balcony,1 night,November 2022,Couple,
Exceptional,,,10.0,Egamberdiev,Poland,Budget Twin Room,3 nights,December 2022,Solo traveler,
Exceptional,,,10.0,Stavroula,Cyprus,Double Room with Balcony,1 night,December 2022,Couple,
Exceptional,,,10.0,Omiros,Cyprus,Double Room with Balcony,3 nights,December 2022,Family,
Exceptional,,,10.0,Daniela,United Kingdom,Double Room with Balcony,1 night,December 2022,Solo traveler,
Wonderful,,,9.0,Rob,Canada,Double Room,1 night,December 2022,Solo traveler,
Wonderful,,,9.0,David,Cyprus,Double Room,1 night,December 2022,Solo traveler,
Wonderful,,,9.0,Rosalyn,Cyprus,Double Room with Balcony,1 night,November 2022,Couple,
Wonderful,,,9.0,Gary,United Kingdom,Double Room,1 night,December 2022,Couple,
Exceptional,,,10.0,Kyriakos,United States of America,Standard Triple Room,1 night,November 2022,Couple,
Wonderful,,,9.0,Scott,United States of America,Budget Twin Room,1 night,October 2022,Solo traveler,
Very Good,,,8.0,Cosmina,Romania,Double Room,1 night,November 2022,Family,
Exceptional,,,10.0,Fahad,United Kingdom,Double Room with Balcony,4 nights,November 2022,Couple,
Wonderful,,,9.0,Ioannidou,Cyprus,Double Room with Balcony,1 night,September 2022,Couple,
Exceptional,,,10.0,Marios,Cyprus,Double Room with Balcony,1 night,November 2022,Family,
Exceptional,,,10.0,Sandeep,Sweden,Double Room with Balcony,4 nights,November 2022,Family,
Exceptional,,,10.0,Michael,South Korea,Double Room with Balcony,1 night,October 2022,Couple,
Exceptional,,,10.0,Daka,Greece,Double Room with Balcony,1 night,September 2022,Family,
Very Good,,,8.0,Philip,Canada,Double Room,1 night,November 2022,Couple,
Exceptional,,,10.0,Maria,Lebanon,Double Room with Balcony,1 night,October 2022,Couple,
Very Good,,,8.0,Sally,United Kingdom,Double Room with Balcony,1 night,November 2022,Solo traveler,
Exceptional,,,10.0,Theodorou,Cyprus,Two-Bedroom Suite,1 night,November 2022,Family,
Exceptional,,,10.0,Downes,United Kingdom,Two-Bedroom Suite,1 night,October 2022,Family,
Wonderful,,,9.0,Thomas,United States of America,Double Room,1 night,October 2022,Family,
Wonderful,,,9.0,Yolande,United Kingdom,Budget Twin Room,2 nights,October 2022,Couple,
Very Good,,,8.0,Vladimir,Israel,Budget Twin Room,1 night,October 2022,Solo traveler,
Very Good,,,8.0,Iain,United Kingdom,Double Room with Balcony,2 nights,October 2022,Solo traveler,
Exceptional,,,10.0,Eleni,Cyprus,Double Room with Balcony,2 nights,October 2022,Couple,
Exceptional,,,10.0,Mustafa,Cyprus,Two-Bedroom Suite,1 night,October 2022,Solo traveler,
Very Good,,,8.0,Elias,Lebanon,Double Room with Balcony,1 night,September 2022,Solo traveler,
Wonderful,,,9.0,Katerina,Cyprus,Double Room with Balcony,1 night,October 2022,Family,
Wonderful,,,9.0,Michelle,United Kingdom,Double Room with Balcony,3 nights,September 2022,Couple,
Exceptional,,,10.0,Loukas,Cyprus,Double Room with Balcony,1 night,August 2022,Couple,
Wonderful,,,9.0,Leila,United Kingdom,Family Suite with Balcony,1 night,October 2022,Family,
"The stay at the hotel was pleasant, especially suitable for getting to know Larnaca and its surround",,,8.0,P,Czech Republic,Standard Triple Room,3 nights,September 2022,Family,
Exceptional,,,10.0,Uros,Serbia,Double Room with Balcony,2 nights,October 2022,Couple,
Very Good,,,8.0,Robert,Germany,Budget Twin Room,1 night,October 2022,Couple,
Exceptional,,,10.0,Mohammed,United Kingdom,Budget Twin Room,1 night,October 2022,Solo traveler,
Exceptional,,,10.0,Motty,Israel,Double Room with Balcony,2 nights,September 2022,Solo traveler,
Exceptional,,,10.0,Greg,United Kingdom,Double Room,1 night,October 2022,Couple,
Exceptional,,,10.0,Daniel,Czech Republic,Double Room,1 night,October 2022,Couple,
Very Good,,,8.0,Steve,United Kingdom,Double Room,1 night,September 2022,Couple,
Exceptional,,,10.0,Dubravka,Croatia,Double Room with Balcony,10 nights,September 2022,Solo traveler,
Very Good,,,8.0,Oded,Canada,Two-Bedroom Suite,1 night,October 2022,Family,
We had a short stay and late check in was very easy and comfortable.,,,9.0,Madis,Estonia,Double Room with Balcony,1 night,October 2022,Couple,
Wonderful,,,9.0,Angus,United Kingdom,Double Room,1 night,October 2022,Couple,
Very Good,,,8.0,Ian,United Kingdom,Two-Bedroom Suite,2 nights,October 2022,Group,
Exceptional,,,10.0,Ahmed,Egypt,Double Room,1 night,July 2022,Solo traveler,
Exceptional,,,10.0,Costas,Australia,Two-Bedroom Suite,3 nights,October 2022,Family,
Good hotel and very close to the airport.,,,8.0,Nikolaus,Germany,Suite with Balcony,1 night,October 2022,Family,
Exceptional,,,10.0,Allan,Cyprus,Double Room with Balcony,1 night,October 2022,Couple,
Exceptional,,,10.0,Nick,United Kingdom,Two-Bedroom Suite,1 night,October 2022,Family,
Very Good,,,8.0,Mtancredi,Italy,Double Room,1 night,October 2022,Couple,
Wonderful,,,9.0,Achilleas,Greece,Double Room with Balcony,2 nights,October 2022,Couple,
Very Good,,,8.0,Leah,Australia,Two-Bedroom Suite,1 night,September 2022,Family,
Wonderful,,,9.0,Vytautas,Iceland,Double Room with Balcony,1 night,September 2022,Couple,
Exceptional,,,10.0,Daniel,Lebanon,Budget Twin Room,1 night,September 2022,Solo traveler,
Very Good,,,8.0,Sotiroula,Cyprus,Double Room with Balcony,1 night,October 2022,Family,
Very Good,,,8.0,Vadim,Cyprus,Double Room with Balcony,3 nights,September 2022,Solo traveler,
Very Good,,,8.0,Paraskevou,United States of America,Double Room with Balcony,1 night,September 2022,Couple,
Exceptional,,,10.0,Andriani,Cyprus,Double Room with Balcony,1 night,September 2022,Couple,
Very Good,,,8.0,Lisa,United Kingdom,Standard Triple Room,1 night,September 2022,Solo traveler,
Exceptional,,,10.0,Miren,Spain,Double Room,1 night,September 2022,Group,
Exceptional,,,10.0,Eden,Germany,Double Room,1 night,September 2022,Couple,
Very Good,,,8.0,John,United Kingdom,Double Room,1 night,September 2022,Couple,
Wonderful,,,9.0,Kanstantsin,United States of America,Double Room,1 night,September 2022,Couple,
Very Good,,,8.0,Nicole,United Kingdom,Budget Twin Room,1 night,September 2022,Couple,
Exceptional,,,10.0,Paris,South Africa,Two-Bedroom Suite,1 night,September 2022,Family,
Wonderful,,,9.0,Jerry,United Kingdom,Double Room with Balcony,2 nights,September 2022,Solo traveler,
Exceptional,,,10.0,Lilit,Armenia,Double Room with Balcony,2 nights,September 2022,Group,
Wonderful,,,9.0,Jenny,Australia,Two-Bedroom Suite,1 night,September 2022,Group,
Exceptional,,,10.0,Gregor,Slovenia,Double Room with Balcony,3 nights,September 2022,Couple,
Exceptional,,,10.0,Ilai,Israel,Double Room with Balcony,1 night,September 2022,Couple,
Very Good,,,8.0,Francesco,Canada,Double Room,1 night,September 2022,Solo traveler,
Very Good,,,8.0,Charalampos,Cyprus,Double Room with Balcony,1 night,September 2022,Solo traveler,
Wonderful,,,9.0,Ellie,United Kingdom,Budget Twin Room,3 nights,September 2022,Family,
Very Good,,,8.0,Eric,United Kingdom,Standard Triple Room,1 night,August 2022,Family,
Wonderful,,,9.0,Nikolas,Cyprus,Budget Twin Room,1 night,August 2022,Solo traveler,
Wonderful,,,9.0,Inbar,Israel,Double Room,1 night,August 2022,Family,
Exceptional,,,10.0,Maria,United Kingdom,Suite with Balcony,1 night,August 2022,Family,
Wonderful,,,9.0,Mario,United Kingdom,Family Suite with Balcony,16 nights,August 2022,Group,
Wonderful,,,9.0,Sami,Lebanon,Double Room with Balcony,1 night,August 2022,Couple,
Exceptional,,,10.0,Roberta,United Kingdom,Double Room with Balcony,1 night,August 2022,Family,
Very Good,,,8.0,Bashir,Cyprus,Double Room with Balcony,1 night,August 2022,Couple,
Exceptional,,,10.0,Lilla,United Kingdom,Double Room with Balcony,5 nights,August 2022,Couple,
Exceptional,,,10.0,Nadejda,United States of America,Double Room,1 night,July 2022,Couple,
Very Good,,,8.0,Christina,Greece,Budget Twin Room,1 night,June 2022,Couple,
Exceptional,,,10.0,Annita,Cyprus,Double Room with Balcony,3 nights,August 2022,Family,
Wonderful,,,9.0,Khaldoun,Saudi Arabia,Double Room with Balcony,2 nights,July 2022,Solo traveler,
Very Good,,,8.0,Daniil,Lithuania,Double Room with Balcony,3 nights,August 2022,Couple,
Exceptional,,,10.0,Maria,Cyprus,Double Room,1 night,July 2022,Couple,
Wonderful,,,9.0,Aggelika,Cyprus,Double Room with Balcony,1 night,June 2022,Couple,
Very Good,,,8.0,Nicoletta,Cyprus,Double Room,1 night,July 2022,Couple,
Exceptional,,,10.0,Hakobyan,Greece,Double Room with Balcony,1 night,July 2022,Couple,
Very Good,,,8.0,Vicky,United Kingdom,Double Room,1 night,July 2022,Couple,
Wonderful,,,9.0,Moushegh,United States of America,Double Room with Balcony,1 night,July 2022,Solo traveler,
Wonderful,,,9.0,Tim,United States of America,Budget Twin Room,1 night,July 2022,Family,
Exceptional,,,10.0,Soteriou,Cyprus,Standard Triple Room,4 nights,July 2022,Family,
Exceptional,,,10.0,Leonid,Austria,Double Room with Balcony,5 nights,July 2022,Solo traveler,
Very Good,,,8.0,Rebecca,United Kingdom,Double Room,1 night,June 2022,Group,
Exceptional,,,10.0,Robert,United States of America,Double Room with Balcony,1 night,July 2022,Couple,
Very Good,,,8.0,Carouba,United Arab Emirates,Double Room,2 nights,June 2022,Group,
Exceptional,,,10.0,Ekaterina,Cyprus,Budget Twin Room,1 night,June 2022,Group,
Very Good,,,8.0,Emilia,Cyprus,Double Room with Balcony,1 night,July 2022,Family,
Exceptional,,,10.0,Marios,Cyprus,Double Room with Balcony,1 night,July 2022,Family,
Exceptional,,,10.0,Iprite,Cyprus,Double Room with Balcony,2 nights,June 2022,Solo traveler,
Wonderful,,,9.0,Georgy,Cyprus,Double Room,1 night,July 2022,Couple,
Exceptional,,,10.0,Jimmy,Lebanon,Double Room,2 nights,July 2022,Solo traveler,
Wonderful,,,9.0,John,United Kingdom,Double Room,1 night,July 2022,Solo traveler,
Wonderful,,,9.0,Loukas,Cyprus,Double Room with Balcony,1 night,July 2022,Family,
Exceptional,,,10.0,Fraser,United Kingdom,Two-Bedroom Suite,1 night,July 2022,Group,
Exceptional,,,10.0,Eleni,Cyprus,Double Room with Balcony,1 night,July 2022,Group,
Exceptional,,,10.0,Jvzevs,Belarus,Standard Triple Room,2 nights,July 2022,Family,
Wonderful,,,9.0,Abir,Sweden,Standard Triple Room,1 night,July 2022,Family,
Very Good,,,8.0,Discovery,Lebanon,Standard Triple Room,1 night,July 2022,Family,
excellent location for the airport.  clean & comfortable & good evening meal.,,,10.0,Lesley,Cyprus,Double Room,1 night,July 2022,Couple,
Exceptional,,,10.0,Lauren,United States of America,Double Room with Balcony,1 night,June 2022,Couple,
Exceptional,,,10.0,Cristin,Ireland,Double Room with Balcony,1 night,July 2022,Couple,
Wonderful,,,9.0,Ramzi,United Kingdom,Double Room,1 night,July 2022,Solo traveler,
Wonderful,,,9.0,Ruben,Germany,Double Room with Balcony,1 night,July 2022,Group,
Wonderful,,,9.0,Nagy,Romania,Double Room with Balcony,7 nights,July 2022,Couple,
Wonderful,,,9.0,Andrew,Switzerland,Family Suite with Balcony,1 night,July 2022,Family,
Very Good,,,8.0,Rafal,Poland,Double Room,1 night,April 2022,Couple,
Very Good,,,8.0,Moushegh,United States of America,Double Room with Balcony,1 night,June 2022,Solo traveler,
Exceptional,,,10.0,Marilena,Cyprus,Double Room with Balcony,1 night,June 2022,Couple,
Wonderful,,,9.0,Spvas,Cyprus,Double Room with Balcony,1 night,June 2022,Couple,
Wonderful,,,9.0,Alexandros,Cyprus,Double Room with Balcony,1 night,May 2022,Couple,
Very Good,,,8.0,Rachel,United Kingdom,Budget Twin Room,1 night,June 2022,Group,
Wonderful,,,9.0,Elias,Australia,Double Room with Balcony,1 night,June 2022,Couple,
Very Good,,,8.0,Patricia,Malaysia,Double Room with Balcony,1 night,June 2022,Solo traveler,
Very Good,,,8.0,Sebastian,Colombia,Double Room,1 night,June 2022,Couple,
Wonderful,,,9.0,Kai,Germany,Double Room with Balcony,1 night,June 2022,Solo traveler,
Exceptional,,,10.0,Banu,Turkey,Double Room,1 night,May 2022,Couple,
Wonderful,,,9.0,Fredis,Ireland,Double Room with Balcony,3 nights,May 2022,Solo traveler,
Wonderful,,,9.0,Elena,Cyprus,Budget Twin Room,1 night,June 2022,Solo traveler,
Exceptional,,,10.0,Ľudmila,Slovakia,Budget Twin Room,1 night,June 2022,Solo traveler,
Very Good,,,8.0,Sean,United Kingdom,Budget Twin Room,1 night,June 2022,Group,
Wonderful,,,9.0,Marc,Spain,Double Room with Balcony,1 night,June 2022,Couple,
Spotlessly clean and very well located from the airport.,,,9.0,Fleur,United Kingdom,Double Room with Balcony,1 night,June 2022,Couple,
Exceptional,,,10.0,Julie,Cyprus,Double Room,1 night,June 2022,Couple,
Exceptional,,,10.0,Jamar,France,Double Room,2 nights,June 2022,Solo traveler,
Exceptional,,,10.0,Anna,Ukraine,Standard Triple Room,1 night,June 2022,Family,
Very Good,,,8.0,William,Cyprus,Double Room with Balcony,1 night,June 2022,Couple,
Exceptional,,,10.0,Stavroula,Greece,Budget Twin Room,1 night,June 2022,Group,
Exceptional,,,10.0,Olena,Germany,Double Room with Balcony,3 nights,June 2022,Solo traveler,
Exceptional,,,10.0,Daniel,United Kingdom,Double Room with Balcony,1 night,April 2022,Solo traveler,
Exceptional,,,10.0,Angela,France,Double Room with Balcony,1 night,June 2022,Solo traveler,
Wonderful,,,9.0,Tevfik,United Kingdom,Two-Bedroom Suite,1 night,June 2022,Family,
Exceptional,,,10.0,Eleni,United Kingdom,Double Room,1 night,June 2022,Couple,
Wonderful,,,9.0,Ruben,United Kingdom,Budget Twin Room,1 night,June 2022,Family,
everything was perfect,,,10.0,Kaoutar,France,Double Room with Balcony,3 nights,June 2022,Group,
Exceptional,,,10.0,Nadejda,United States of America,Double Room with Balcony,1 night,June 2022,Couple,
Exceptional,,,10.0,Demetris,Cyprus,Double Room,1 night,June 2022,Couple,
Exceptional,,,10.0,Monika,United Kingdom,Budget Twin Room,1 night,June 2022,Couple,
Exceptional,,,10.0,Susana,Portugal,Double Room,1 night,May 2022,Solo traveler,
Wonderful,,,9.0,Nedim,Austria,Double Room with Balcony,3 nights,May 2022,Couple,
Wonderful,,,9.0,Kanstantsin,United States of America,Double Room with Balcony,1 night,May 2022,Solo traveler,
Wonderful,,,9.0,Yiannis,Cyprus,Double Room with Balcony,1 night,May 2022,Couple,
Very Good,,,8.0,Dawn,Cyprus,Double Room with Balcony,2 nights,May 2022,Couple,
Very good value for money. Very good location.,,,9.0,Athina,United Arab Emirates,Double Room with Balcony,1 night,May 2022,Family,
Wonderful,,,9.0,Atanas,North Macedonia,Two-Bedroom Suite,5 nights,May 2022,Family,
Exceptional,,,10.0,Andrew,United Kingdom,Double Room,1 night,May 2022,Couple,
Exceptional,,,10.0,Janet,United States of America,Double Room with Balcony,1 night,May 2022,Couple,
Very Good,,,8.0,Gillian,United Kingdom,Double Room,1 night,May 2022,Couple,
Exceptional,,,10.0,Πολυξένη,Greece,Double Room,1 night,April 2022,Couple,
Exceptional,,,10.0,Елена,Ukraine,Double Room with Balcony,5 nights,May 2022,Family,
Very Good,,,8.0,Daniel,Romania,Double Room with Balcony,1 night,May 2022,Solo traveler,
Exceptional,,,10.0,Tomas,Lithuania,Double Room with Balcony,1 night,May 2022,Couple,
Very Good,,,8.0,Nels,Netherlands,Double Room with Balcony,1 night,May 2022,Couple,
Exceptional,,,10.0,Laura,Ireland,Double Room,1 night,April 2022,Couple,
Very Good,,,8.0,Vadim,United States of America,Double Room,1 night,May 2022,Couple,
Exceptional,,,10.0,Mark,United Kingdom,Double Room with Balcony,1 night,May 2022,Couple,
Exceptional,,,10.0,Kristina,Serbia,Double Room,1 night,April 2022,Group,
Exceptional,,,10.0,Yosef,United Kingdom,Double Room with Balcony,1 night,April 2022,Solo traveler,
Exceptional,,,10.0,Robin,Cyprus,Family Suite with Balcony,1 night,April 2022,Family,
Wonderful,,,9.0,Dimitrios,Greece,Double Room with Balcony,1 night,March 2022,Solo traveler,
Very Good,,,8.0,Simon,Denmark,Double Room,1 night,April 2022,Couple,
Exceptional,,,10.0,Viktoria,United Kingdom,Standard Triple Room,1 night,April 2022,Family,
A perfect place to stay for a few nights before leaving Cyprus. Very close to the airport,,,10.0,Brady,Canada,Double Room with Balcony,2 nights,April 2022,Couple,
Wonderful,,,9.0,Roman,Australia,Double Room with Balcony,1 night,April 2022,Solo traveler,
Very Good,,,8.0,John,United Kingdom,Double Room,1 night,April 2022,Couple,
Wonderful,,,9.0,Colin,United Kingdom,Family Suite with Balcony,1 night,April 2022,Family,
Very Good,,,8.0,Florent,United States of America,Double Room with Balcony,1 night,April 2022,Group,
Exceptional,,,10.0,Maria,Cyprus,Double Room,3 nights,April 2022,Solo traveler,
Wonderful,,,9.0,Halla,Cyprus,Double Room with Balcony,1 night,April 2022,Couple,
Exceptional,,,10.0,Esme,United Kingdom,Standard Triple Room,1 night,April 2022,Family,
Exceptional,,,10.0,Nancy,Germany,Double Room,1 night,April 2022,Solo traveler,
Exceptional,,,10.0,Fouad,Lebanon,Double Room,1 night,April 2022,Solo traveler,
Exceptional,,,10.0,Serena,Lebanon,Double Room,1 night,April 2022,Solo traveler,
Exceptional,,,10.0,Georges,Lebanon,Double Room,1 night,April 2022,Solo traveler,
Very Good,,,8.0,Rodosthenous,Cyprus,Double Room,2 nights,April 2022,Couple,
Very Good,,,8.0,Jane,United Kingdom,Double Room with Balcony,1 night,March 2022,Solo traveler,
Wonderful,,,9.0,Giora,United States of America,Double Room,1 night,March 2022,Family,
Very Good,,,8.0,Ekaterina,United Kingdom,Double Room,1 night,March 2022,Solo traveler,
Exceptional,,,10.0,Theodosis,Cyprus,Double Room with Balcony,1 night,March 2022,Solo traveler,
Exceptional,,,10.0,Theodosis,Cyprus,Double Room with Balcony,1 night,February 2022,Solo traveler,
Exceptional,,,10.0,Dr,Switzerland,Double Room with Balcony,1 night,March 2022,Solo traveler,
Exceptional,,,10.0,Andry,Cyprus,Double Room,1 night,March 2022,Couple,
Exceptional,,,10.0,Varvara,Russia,Double Room,1 night,March 2022,Couple,
Wonderful,,,9.0,Savvas,Greece,Double Room with Balcony,1 night,March 2022,Couple,
Wonderful,,,9.0,Philippos,Cyprus,Double Room,3 nights,December 2021,Couple,
Wonderful,,,9.0,Timothy,United Kingdom,Family Suite with Balcony,1 night,February 2022,Family,
Wonderful,,,9.0,Maria,Russia,Double Room,1 night,February 2022,Solo traveler,
Exceptional,,,10.0,Theodosis,Cyprus,Double Room,1 night,December 2021,Solo traveler,
Exceptional,,,10.0,Sharon,United Kingdom,Double Room,1 night,February 2022,Couple,
Wonderful,,,9.0,Jean,Lebanon,Double Room with Balcony,1 night,January 2022,Solo traveler,
Exceptional,,,10.0,Emma,Ireland,Double Room,1 night,December 2021,Couple,
Very handy for the airport,,,9.0,Paola,Malta,Family Suite with Balcony,1 night,December 2021,Family,
Exceptional,,,10.0,Elie,Ghana,Double Room with Balcony,4 nights,December 2021,Couple,
Exceptional,,,10.0,Michael,United States of America,Double Room with Balcony,1 night,November 2021,Couple,
Exceptional,,,10.0,Karl,Canada,Double Room,1 night,December 2021,Group,
Wonderful,,,9.0,Fatu,Romania,Double Room with Balcony,1 night,November 2021,Solo traveler,
Wonderful,,,9.0,David,United Kingdom,Double Room with Balcony,1 night,September 2021,Solo traveler,
Wonderful,,,9.0,Kevin,United Kingdom,Double Room,1 night,November 2021,Couple,
Exceptional,,,10.0,Andreas,Cyprus,Double Room,1 night,December 2021,Couple,
Exceptional,,,10.0,Karl,Canada,Double Room,1 night,December 2021,Solo traveler,
Very Good,,,8.0,Mark,United Kingdom,Family Suite with Balcony,1 night,October 2021,Family,
Very Good,,,8.0,Maria,Spain,Double Room,1 night,November 2021,Couple,
Very Good,,,8.0,Noa,Netherlands,Double Room with Balcony,1 night,September 2021,Solo traveler,
Wonderful,,,9.0,Alena,Russia,Double Room with Balcony,1 night,November 2021,Couple,
Wonderful,,,9.0,Mark,United Kingdom,Double Room with Balcony,1 night,October 2021,Couple,
Exceptional,,,10.0,Hisham,Lebanon,Double Room with Balcony,1 night,November 2021,Group,
Very Good,,,8.0,Lea,Denmark,Standard Triple Room,1 night,October 2021,Family,
Exceptional,,,10.0,Theodoros,Cyprus,Double Room with Balcony,1 night,August 2021,Couple,
Exceptional,,,10.0,Jay,United Kingdom,Double Room,1 night,November 2021,Family,
Wonderful,,,9.0,Alisa,United Kingdom,Double Room,1 night,November 2021,Solo traveler,
Exceptional,,,10.0,Liliya,Russia,Double Room with Balcony,1 night,October 2021,Solo traveler,
Exceptional,,,10.0,Rode,Germany,Double Room,1 night,October 2021,Couple,
Wonderful,,,9.0,Howard,United Kingdom,Family Suite with Balcony,1 night,October 2021,Group,
Exceptional,,,10.0,Ognjen,Bosnia and Herzegovina,Double Room,3 nights,October 2021,Couple,
clean and modern furniture with friendly staff. good one night stay near to airport.,,,8.0,Maggie,United Kingdom,Double Room with Balcony,1 night,October 2021,Couple,
Very Good,,,8.0,Alex,United Kingdom,Two-Bedroom Suite,1 night,October 2021,Family,
Very Good,,,8.0,Iulia,Romania,Double Room with Balcony,1 night,September 2021,Solo traveler,
Very Good,,,8.0,Jacqueline,Cyprus,Double Room with Balcony,1 night,September 2021,Solo traveler,
Exceptional,,,10.0,Anonymuus,Czech Republic,Double Room with Balcony,1 night,October 2021,Couple,
Very Good,,,8.0,Travelanon,Australia,Standard Triple Room,1 night,July 2021,Group,
Exceptional,,,10.0,Anfisa,Russia,Double Room with Balcony,1 night,September 2021,Couple,
Exceptional,,,10.0,Anfisa,Russia,Double Room with Balcony,1 night,October 2021,Couple,
Exceptional,,,10.0,Polina,Russia,Double Room,1 night,August 2021,Group,
Wonderful,,,9.0,Cosmina,Romania,Double Room,4 nights,October 2021,Couple,
Wonderful,,,9.0,Ko,Estonia,Double Room with Balcony,1 night,October 2021,Family,
Exceptional,,,10.0,Mohammad,Kuwait,Double Room with Balcony,1 night,October 2021,Solo traveler,
Wonderful,,,9.0,Diego,Colombia,Double Room with Balcony,1 night,October 2021,Family,
Very Good,,,8.0,Tatiana,Netherlands,Double Room with Balcony,1 night,September 2021,Group,
Exceptional,,,10.0,George,United Kingdom,Double Room,1 night,September 2021,Solo traveler,
Very Good,,,8.0,Matt,United Kingdom,Double Room with Balcony,1 night,September 2021,Group,
Exceptional,,,10.0,Florin,United Kingdom,Double Room with Balcony,1 night,September 2021,Solo traveler,
Exceptional,,,10.0,Katie,United Kingdom,Double Room with Balcony,1 night,September 2021,Group,
Exceptional,,,10.0,Giorgos,Cyprus,Double Room with Balcony,4 nights,September 2021,Solo traveler,
Very Good,,,8.0,Vladyslav,Germany,Family Suite with Balcony,1 night,September 2021,Family,
Exceptional,,,10.0,Peter,United Kingdom,Family Suite with Balcony,1 night,July 2021,Family,
Wonderful,,,9.0,Natalia,Ukraine,Double Room with Balcony,7 nights,August 2021,Solo traveler,
Wonderful,,,9.0,Tony,United Kingdom,Double Room with Balcony,1 night,September 2021,Couple,
Wonderful,,,9.0,Artur,Austria,Double Room with Balcony,7 nights,August 2021,Group,
Exceptional,,,10.0,Xenia,United Kingdom,Double Room with Balcony,4 nights,August 2021,Couple,
"Very handy for the airport. I would stay there again, for sure.",,,8.0,Rachael,Cyprus,Double Room with Balcony,1 night,September 2021,Family,
Exceptional,,,10.0,Minas,Egypt,Double Room with Balcony,1 night,August 2021,Family,
Very Good,,,8.0,Ostap_med,Ukraine,Standard Triple Room,1 night,August 2021,Group,
Exceptional,,,10.0,Burcu,Turkey,Double Room with Balcony,1 night,August 2021,Family,
Very Good,,,8.0,Jip,Netherlands,Double Room with Balcony,1 night,August 2021,Couple,
Exceptional,,,10.0,Khalid,Saudi Arabia,Double Room with Balcony,1 night,August 2021,Solo traveler,
Exceptional,,,10.0,Katerina,Cyprus,Double Room with Balcony,2 nights,August 2021,Group,
Very Good,,,8.0,St,Cyprus,Double Room,1 night,August 2021,Couple,
Wonderful,,,9.0,Raluca,Ireland,Double Room with Balcony,1 night,August 2021,Couple,
Exceptional,,,10.0,Maria-rita,Lebanon,Family Suite with Balcony,1 night,August 2021,Family,
Exceptional,,,10.0,Barbara,Austria,Family Suite with Balcony,2 nights,August 2021,Group,
Wonderful,,,9.0,Andrei_campean,Ireland,Double Room with Balcony,1 night,August 2021,Couple,
Exceptional,,,10.0,Elen,Ukraine,Two-Bedroom Suite,1 night,August 2021,Group,
Very Good,,,8.0,Mohamed,Bahrain,Double Room with Balcony,4 nights,August 2021,Couple,
Wonderful,,,9.0,Elias,Saudi Arabia,Family Suite with Balcony,4 nights,August 2021,Family,
